id,?column?,image
3097,النهايات والاستمرار - الجلسة 12,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3097/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A2____D9____A8_____D9____A2____D9____A1____D9____A2____D9____A9____D9____A0____D9____A2_2643535450396409491.jpg
3099,النهايات والاستمرار - الجلسة 13,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3099/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A3____D9____A0_____D9____A1____D9____A1____D9____A0____D9____A9____D9____A3____D9____A7_1524830843703630327.jpg
3100,النهايات والاستمرار ـ الجلسة 14,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3100/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A3____D9____A0_____D9____A1____D9____A1____D9____A1____D9____A4____D9____A0____D9____A9_6298177512285775596.jpg
2721,فيديو توضيحي يتضمن شرح فكرة تخمين عبارة متتالية,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2721/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A2____D9____A3_____D9____A2____D9____A2____D9____A1____D9____A9____D9____A0____D9____A0_7620440361615710498.jpg
2233,حل وظيفة الجلسة 23,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2233/JPEG_20250425_113558_21104943402699927.jpg
2233,حل وظيفة الجلسة 23,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2233/JPEG_20250425_113558_7836346764570664491.jpg
2233,حل وظيفة الجلسة 23,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2233/JPEG_20250426_081623_7649763049719568528.jpg
349,سحب كرتين على التتالي دون إعادة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/349/JPEG_____D9____A2____D9____A0____D9____A2____D9____A4____D9____A0____D9____A9____D9____A1____D9____A4_____D9____A0____D9____A1____D9____A3____D9____A5____D9____A0____D9____A6_275517699429571822.jpg
2737,التحليل التوافقي ـ الجلسة 2,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2737/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A7____D9____A1____D9____A8_____D9____A2____D9____A0____D9____A3____D9____A2____D9____A1____D9____A3_3894433274785631274.jpg
2739,النهايات والاستمرار - الجلسة 1,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2739/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A2____D9____A8_____D9____A2____D9____A0____D9____A5____D9____A6____D9____A1____D9____A3_4757015791237485827.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_2413731486095035679.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_4998580153331410455.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_662182175795131426.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_5497987277483269982.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_4052867015823352980.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_3426385552110099473.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_2989833765336240208.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_2177253196583012323.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_1880306253765595981.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_8079311000791265005.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_5457812385783339850.jpg
2257,وظيفة تمارين كتاب الحادي عشر ( اطراد - حسابية - هندسية ),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2257/JPEG_20250428_121212_5655482522446301851.jpg
1117,اختبار رياضيات,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/1117/2025.02.13.09.02.04.500206.jpg
1117,اختبار رياضيات,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/1117/2025.02.13.09.02.05.571071.jpg
1117,اختبار رياضيات,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/1117/2025.02.13.09.02.06.447759.jpg
1168,"نموذج نهايات شاملة ",https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/RohTeam/1168/2024.12.19.13.14.11.232535.jpg
2234,وظيفة الجلسة 23,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2234/JPEG_20250425_114156_2184162566390194532.jpg
2234,وظيفة الجلسة 23,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2234/JPEG_20250425_114156_7711216166168762091.jpg
2234,وظيفة الجلسة 23,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2234/JPEG_20250426_081959_1432709282510900958.jpg
2648,المتتاليات والإثبات بالتدريج - الجلسة 2,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2648/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A1____D9____A8_____D9____A1____D9____A5____D9____A4____D9____A4____D9____A4____D9____A0_6363773052019943333.jpg
2649,المتتاليات والإثبات بالتدريج ـ الجلسة 3,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2649/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A1____D9____A8_____D9____A1____D9____A5____D9____A4____D9____A5____D9____A0____D9____A9_3183336254530426177.jpg
2650,المتتاليات والإثبات بالتدريج - الجلسة 4,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2650/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A1____D9____A8_____D9____A1____D9____A5____D9____A4____D9____A5____D9____A3____D9____A8_7692719378748938185.jpg
2712,المتتاليات والإثبات بالتدريج_الجلسة 6,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2712/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A2____D9____A2_____D9____A2____D9____A2____D9____A2____D9____A5____D9____A5____D9____A1_3175190117421706928.jpg
2669,المتتاليات والإثبات بالتدريج - الجلسة 5,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2669/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A2____D9____A1_____D9____A1____D9____A1____D9____A1____D9____A4____D9____A4____D9____A2_6994172875758904772.jpg
2738,التحليل التوافقي ـ الجلسة 3,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2738/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A2____D9____A8_____D9____A2____D9____A0____D9____A5____D9____A4____D9____A3____D9____A5_5699217623451579779.jpg
2736,التحليل التوافقي - الجلسة 1,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2736/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A6____D9____A2____D9____A8_____D9____A2____D9____A0____D9____A5____D9____A5____D9____A3____D9____A2_1073450072971451764.jpg
