id,?column?,file
679,التمثيل الوسيطي لمستقيم,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/679/2024.09.26.21.46.15.355026.pdf
2790,مدخل إلى الأشعة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2790/____D9____85____D8____AF____D8____AE____D9____84____20____D8____A5____D9____84____D9____89____20____D8____A7____D9____84____D8____A3____D8____B4____D8____B9____D8____A9____20____D8____AC.pdf
2954,التابع الدوري,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2954/2025.08.02.18.36.10.316565.pdf
585,الوضع النسبي لمستقيمين في الفراغ,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/585/2025.07.09.13.52.06.991459.pdf
861,القيم الحدية,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/861/2025.07.29.09.22.49.302854.pdf
2803,تطبيقات الأعداد العقدية ـ الجلسة الثانية,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2803/____D8____A7____D9____84____D8____AC____D8____B2____D8____A1_____D8____A7____D9____84____D8____AB____D8____A7____D9____86____D9____8A_____D8____AA____D8____B7____D8____A8____D9____8A____D9____82____D8____A7____D8____AA_____D8____A7____D9____84____D8____B9____D9____82____D8____AF____D9____8A____D8____A9_____D8____A7____D9____84____D8____AC____D9____84____D8____B3____D8____A9_2.pdf
2806,تطبيقات الأعداد العقدية - الجلسة الخامسة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2806/____D8____A7____D9____84____D8____AC____D8____B2____D8____A1_____D8____A7____D9____84____D8____AB____D8____A7____D9____86____D9____8A_____D8____AA____D8____B7____D8____A8____D9____8A____D9____82____D8____A7____D8____AA_____D8____A7____D9____84____D8____B9____D9____82____D8____AF____D9____8A____D8____A9_____D8____A7____D9____84____D8____AC____D9____84____D8____B3____D8____A9_5.pdf
2808,التحليل التوافقي - الجلسة 5,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2808/____D8____A7____D9____84____D8____AA____D8____AD____D9____84____D9____8A____D9____84____20____D8____A7____D9____84____D8____AA____D9____88____D8____A7____D9____81____D9____82____D9____8A.pdf
809,خارج الكتاب,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/809/2024.10.09.19.08.27.004682.pdf
2810,التحليل التوافقي ـ الجلسة 7,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2810/____D8____A7____D9____84____D8____AC____D8____B2____D8____A1_____D8____A7____D9____84____D8____AB____D8____A7____D9____86____D9____8A_____D8____A7____D9____84____D8____AA____D8____AD____D9____84____D9____8A____D9____84_____D8____A7____D9____84____D8____AA____D9____88____D8____A7____D9____81____D9____82____D9____8A_____D8____A7____D9____84____D8____AC____D9____84____D8____B3____D8____A9_7.pdf
2805,تطبيقات الأعداد العقدية ـ الجلسة الرابعة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2805/____D8____A7____D9____84____D8____AC____D8____B2____D8____A1_____D8____A7____D9____84____D8____AB____D8____A7____D9____86____D9____8A_____D8____AA____D8____B7____D8____A8____D9____8A____D9____82____D8____A7____D8____AA_____D8____A7____D9____84____D8____B9____D9____82____D8____AF____D9____8A____D8____A9_____D8____A7____D9____84____D8____AC____D9____84____D8____B3____D8____A9_4.pdf
2428,النوطة الشاملة ديانة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Islamic/2428/____D9____86____D9____88____D8____B7____D8____A9____20____D8____AF____D9____8A____D8____A7____D9____86____D8____A9.pdf
2807,التحليل التوافقي - الجلسة 4,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2807/____D8____A7____D9____84____D8____AC____D8____B2____D8____A1_____D8____A7____D9____84____D8____AB____D8____A7____D9____86____D9____8A_____D8____A7____D9____84____D8____AA____D8____AD____D9____84____D9____8A____D9____84_____D8____A7____D9____84____D8____AA____D9____88____D8____A7____D9____81____D9____82____D9____8A_____D8____A7____D9____84____D8____AC____D9____84____D8____B3____D8____A9_4.pdf
2809,التحليل التوافقي - الجلسة 6,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2809/____D8____A7____D9____84____D8____AC____D8____B2____D8____A1_____D8____A7____D9____84____D8____AB____D8____A7____D9____86____D9____8A_____D8____A7____D9____84____D8____AA____D8____AD____D9____84____D9____8A____D9____84_____D8____A7____D9____84____D8____AA____D9____88____D8____A7____D9____81____D9____82____D9____8A_____D8____A7____D9____84____D8____AC____D9____84____D8____B3____D8____A9_6_1(1).pdf
2811,الدرس السادس - النقل في الأعصاب,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Biology/2811/____D8____A7____D9____84____D8____AF____D8____B1____D8____B3_____D8____A7____D9____84____D8____B3____D8____A7____D8____AF____D8____B3_____D8____A7____D9____84____D9____86____D9____82____D9____84_____D9____81____D9____8A_____D8____A7____D9____84____D8____A3____D8____B9____D8____B5____D8____A7____D8____A8.PDF
413,متتالية هندسية,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/413/2024.11.19.12.46.00.713581.pdf
888,"Past (simple - progressive - perfect) Test 1 ",https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/English/888/2024.11.08.11.06.21.127414.pdf
2815,الدرس السابع - وظائف الجهاز العصبي المركزي 1,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Biology/2815/____D8____A7____D9____84____D8____AF____D8____B1____D8____B3_____D8____A7____D9____84____D8____B3____D8____A7____D8____A8____D8____B9_____D9____88____D8____B8____D8____A7____D8____A6____D9____81_____D8____A7____D9____84____D8____AC____D9____87____D8____A7____D8____B2_____D8____A7____D9____84____D8____B9____D8____B5____D8____A8____D9____8A_____D8____A7____D9____84____D9____85____D8____B1____D9____83____D8____B2____D9____8A_1.PDF
1220,تدرب ص 123,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/1220/2024.12.25.09.23.39.461374.pdf
1005,تعريف المتتالية,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/1005/2024.11.20.10.41.05.228185.pdf
2044,"تعريف المتتالية ",https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2044/2025.03.24.16.10.49.321704.pdf
822,Causative Test 1,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Islamic/822/2024.10.17.17.54.36.355748.pdf
690,السؤال 19 وحدة أولى أشعة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/690/2024.09.25.12.41.00.909390.pdf
839,التحليل التوافقي مضلعات,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/839/2024.11.07.13.48.46.784038.pdf
797,"Tenses Test 1 ",https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/English/797/____D8____B4____D8____B1____D8____AD____20Tenses(1).pdf
2979,مماس علم ميله,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2979/2.pdf
